Numer of labeled samples:22454   AUC:0.958
Numer of labeled samples:22394   AUC:0.959
Numer of labeled samples:23828   AUC:0.976
Numer of labeled samples:23514   AUC:0.975
Numer of labeled samples:23572   AUC:0.976
Numer of labeled samples:23925   AUC:0.977
Numer of labeled samples:23787   AUC:0.978
Numer of labeled samples:23682   AUC:0.977
Numer of labeled samples:23511   AUC:0.978
Numer of labeled samples:23540   AUC:0.978
Numer of labeled samples:23654   AUC:0.979
Numer of labeled samples:23565   AUC:0.979
Numer of labeled samples:23439   AUC:0.979
Numer of labeled samples:23577   AUC:0.979
Numer of labeled samples:23627   AUC:0.979
Numer of labeled samples:23643   AUC:0.980
Numer of labeled samples:23527   AUC:0.980
Numer of labeled samples:23637   AUC:0.979
Numer of labeled samples:23407   AUC:0.980
Numer of labeled samples:23648   AUC:0.980
Numer of labeled samples:23416   AUC:0.979
Numer of labeled samples:23342   AUC:0.979
Numer of labeled samples:23403   AUC:0.979
Numer of labeled samples:23468   AUC:0.980
Numer of labeled samples:23314   AUC:0.979
Numer of labeled samples:23278   AUC:0.979
Numer of labeled samples:23456   AUC:0.980
Numer of labeled samples:23571   AUC:0.980
Numer of labeled samples:23698   AUC:0.981
Numer of labeled samples:23560   AUC:0.981
Numer of labeled samples:23644   AUC:0.980
Numer of labeled samples:23679   AUC:0.982
Numer of labeled samples:23562   AUC:0.980
Numer of labeled samples:23489   AUC:0.981
Numer of labeled samples:23422   AUC:0.981
Numer of labeled samples:23322   AUC:0.981
Numer of labeled samples:23380   AUC:0.980
Numer of labeled samples:23676   AUC:0.981
Numer of labeled samples:23307   AUC:0.982
Numer of labeled samples:23337   AUC:0.980
Numer of labeled samples:23559   AUC:0.981
Numer of labeled samples:23505   AUC:0.981
Numer of labeled samples:23426   AUC:0.981
Numer of labeled samples:23483   AUC:0.982
Numer of labeled samples:23648   AUC:0.982
Numer of labeled samples:23614   AUC:0.981
Numer of labeled samples:23622   AUC:0.982
Numer of labeled samples:23561   AUC:0.982
Numer of labeled samples:23645   AUC:0.982
Numer of labeled samples:23421   AUC:0.981
Numer of labeled samples:23519   AUC:0.982
Numer of labeled samples:23650   AUC:0.982
Numer of labeled samples:23625   AUC:0.981
Numer of labeled samples:23532   AUC:0.981
Numer of labeled samples:23376   AUC:0.982
Numer of labeled samples:23524   AUC:0.982
Numer of labeled samples:23558   AUC:0.983
Numer of labeled samples:23599   AUC:0.982
Numer of labeled samples:23552   AUC:0.983
Numer of labeled samples:23681   AUC:0.982
Numer of labeled samples:23695   AUC:0.983
Numer of labeled samples:23665   AUC:0.983
Numer of labeled samples:23836   AUC:0.982
Numer of labeled samples:23460   AUC:0.982
Numer of labeled samples:23580   AUC:0.982
Numer of labeled samples:23811   AUC:0.983
Numer of labeled samples:23657   AUC:0.983
Numer of labeled samples:23490   AUC:0.982
Numer of labeled samples:23588   AUC:0.982
Numer of labeled samples:23511   AUC:0.983
Numer of labeled samples:23716   AUC:0.982
Numer of labeled samples:23487   AUC:0.982
Numer of labeled samples:23701   AUC:0.983
Numer of labeled samples:23733   AUC:0.981
Numer of labeled samples:23569   AUC:0.983
Numer of labeled samples:23594   AUC:0.982
Numer of labeled samples:23678   AUC:0.983
Numer of labeled samples:23790   AUC:0.983
Numer of labeled samples:23795   AUC:0.982
Numer of labeled samples:23717   AUC:0.984
Numer of labeled samples:23671   AUC:0.982
Numer of labeled samples:23680   AUC:0.983
Numer of labeled samples:23667   AUC:0.983
Numer of labeled samples:23742   AUC:0.983
Numer of labeled samples:23791   AUC:0.983
Numer of labeled samples:23686   AUC:0.984
Numer of labeled samples:23697   AUC:0.983
Numer of labeled samples:23719   AUC:0.983
Numer of labeled samples:23737   AUC:0.983
Numer of labeled samples:23694   AUC:0.983
Numer of labeled samples:23740   AUC:0.982
Numer of labeled samples:23700   AUC:0.983
Numer of labeled samples:23747   AUC:0.983
Numer of labeled samples:23869   AUC:0.984
Numer of labeled samples:23763   AUC:0.983
Numer of labeled samples:23753   AUC:0.984
Numer of labeled samples:23941   AUC:0.984
Numer of labeled samples:23713   AUC:0.983
Numer of labeled samples:23658   AUC:0.982
Numer of labeled samples:23898   AUC:0.984
Numer of labeled samples:23741   AUC:0.982
Numer of labeled samples:23790   AUC:0.983
Numer of labeled samples:23913   AUC:0.987
Numer of labeled samples:23919   AUC:0.987
Numer of labeled samples:23916   AUC:0.987
Numer of labeled samples:23925   AUC:0.987
Numer of labeled samples:23951   AUC:0.987
Numer of labeled samples:23940   AUC:0.987
Numer of labeled samples:23998   AUC:0.987
Numer of labeled samples:23917   AUC:0.987
Numer of labeled samples:23957   AUC:0.987
Numer of labeled samples:23926   AUC:0.987
Numer of labeled samples:24026   AUC:0.987
Numer of labeled samples:23979   AUC:0.987
Numer of labeled samples:23988   AUC:0.987
Numer of labeled samples:23940   AUC:0.987
Numer of labeled samples:23999   AUC:0.986
Numer of labeled samples:24014   AUC:0.987
Numer of labeled samples:24015   AUC:0.986
Numer of labeled samples:23966   AUC:0.987
Numer of labeled samples:24039   AUC:0.986
Numer of labeled samples:23986   AUC:0.986
Numer of labeled samples:24010   AUC:0.986
Numer of labeled samples:23991   AUC:0.987
Numer of labeled samples:24048   AUC:0.986
Numer of labeled samples:24031   AUC:0.986
Numer of labeled samples:24049   AUC:0.986
Numer of labeled samples:24001   AUC:0.986
Numer of labeled samples:24063   AUC:0.986
Numer of labeled samples:24035   AUC:0.986
Numer of labeled samples:24033   AUC:0.986
Numer of labeled samples:24017   AUC:0.986
Numer of labeled samples:24058   AUC:0.986
Numer of labeled samples:24054   AUC:0.986
