Numer of labeled samples:8917   AUC:0.823
Numer of labeled samples:8105   AUC:0.822
Numer of labeled samples:9751   AUC:0.905
Numer of labeled samples:10095   AUC:0.908
Numer of labeled samples:11120   AUC:0.925
Numer of labeled samples:10885   AUC:0.925
Numer of labeled samples:11526   AUC:0.931
Numer of labeled samples:11558   AUC:0.934
Numer of labeled samples:11806   AUC:0.942
Numer of labeled samples:11485   AUC:0.939
Numer of labeled samples:11772   AUC:0.944
Numer of labeled samples:11802   AUC:0.945
Numer of labeled samples:11709   AUC:0.948
Numer of labeled samples:11801   AUC:0.948
Numer of labeled samples:11637   AUC:0.952
Numer of labeled samples:11732   AUC:0.950
Numer of labeled samples:11748   AUC:0.953
Numer of labeled samples:11602   AUC:0.952
Numer of labeled samples:11611   AUC:0.955
Numer of labeled samples:11742   AUC:0.954
Numer of labeled samples:11659   AUC:0.954
Numer of labeled samples:11600   AUC:0.954
Numer of labeled samples:11627   AUC:0.955
Numer of labeled samples:11696   AUC:0.954
Numer of labeled samples:11636   AUC:0.958
Numer of labeled samples:11629   AUC:0.955
Numer of labeled samples:11659   AUC:0.957
Numer of labeled samples:11647   AUC:0.956
Numer of labeled samples:11643   AUC:0.957
Numer of labeled samples:11612   AUC:0.958
Numer of labeled samples:11598   AUC:0.958
Numer of labeled samples:11648   AUC:0.959
Numer of labeled samples:11606   AUC:0.957
Numer of labeled samples:11548   AUC:0.959
Numer of labeled samples:11476   AUC:0.958
Numer of labeled samples:11546   AUC:0.957
Numer of labeled samples:11519   AUC:0.959
Numer of labeled samples:11511   AUC:0.956
Numer of labeled samples:11299   AUC:0.959
Numer of labeled samples:11297   AUC:0.958
Numer of labeled samples:11217   AUC:0.957
Numer of labeled samples:11272   AUC:0.958
Numer of labeled samples:11102   AUC:0.960
Numer of labeled samples:11168   AUC:0.956
Numer of labeled samples:11151   AUC:0.956
Numer of labeled samples:11125   AUC:0.956
Numer of labeled samples:11154   AUC:0.958
Numer of labeled samples:11093   AUC:0.956
Numer of labeled samples:11029   AUC:0.956
Numer of labeled samples:11025   AUC:0.955
Numer of labeled samples:10996   AUC:0.958
Numer of labeled samples:10993   AUC:0.956
Numer of labeled samples:10950   AUC:0.955
Numer of labeled samples:11015   AUC:0.959
Numer of labeled samples:10978   AUC:0.957
Numer of labeled samples:10979   AUC:0.956
Numer of labeled samples:11009   AUC:0.955
Numer of labeled samples:10963   AUC:0.956
Numer of labeled samples:10976   AUC:0.956
Numer of labeled samples:10952   AUC:0.955
Numer of labeled samples:10925   AUC:0.954
Numer of labeled samples:10916   AUC:0.956
Numer of labeled samples:10898   AUC:0.955
Numer of labeled samples:10907   AUC:0.955
Numer of labeled samples:10905   AUC:0.956
Numer of labeled samples:10871   AUC:0.955
Numer of labeled samples:10861   AUC:0.954
Numer of labeled samples:10912   AUC:0.955
Numer of labeled samples:10910   AUC:0.956
Numer of labeled samples:10907   AUC:0.956
Numer of labeled samples:10882   AUC:0.954
Numer of labeled samples:10870   AUC:0.954
Numer of labeled samples:10893   AUC:0.955
Numer of labeled samples:10809   AUC:0.955
Numer of labeled samples:10867   AUC:0.954
Numer of labeled samples:10864   AUC:0.957
Numer of labeled samples:10858   AUC:0.954
Numer of labeled samples:10861   AUC:0.953
Numer of labeled samples:10883   AUC:0.953
Numer of labeled samples:10834   AUC:0.953
Numer of labeled samples:10849   AUC:0.954
Numer of labeled samples:10876   AUC:0.956
Numer of labeled samples:10854   AUC:0.955
Numer of labeled samples:10838   AUC:0.954
Numer of labeled samples:10819   AUC:0.955
Numer of labeled samples:10824   AUC:0.954
Numer of labeled samples:10799   AUC:0.954
Numer of labeled samples:10820   AUC:0.956
Numer of labeled samples:10873   AUC:0.954
Numer of labeled samples:10869   AUC:0.955
Numer of labeled samples:10841   AUC:0.956
Numer of labeled samples:10860   AUC:0.954
Numer of labeled samples:10864   AUC:0.953
Numer of labeled samples:10853   AUC:0.955
Numer of labeled samples:10796   AUC:0.954
Numer of labeled samples:10867   AUC:0.955
Numer of labeled samples:10859   AUC:0.955
Numer of labeled samples:10832   AUC:0.953
Numer of labeled samples:10840   AUC:0.953
Numer of labeled samples:10848   AUC:0.955
Numer of labeled samples:10831   AUC:0.955
Numer of labeled samples:10859   AUC:0.953
Numer of labeled samples:10932   AUC:0.953
Numer of labeled samples:10912   AUC:0.953
Numer of labeled samples:10951   AUC:0.952
Numer of labeled samples:10930   AUC:0.952
Numer of labeled samples:10943   AUC:0.952
Numer of labeled samples:10935   AUC:0.951
Numer of labeled samples:10959   AUC:0.951
Numer of labeled samples:10949   AUC:0.951
Numer of labeled samples:10968   AUC:0.950
Numer of labeled samples:10959   AUC:0.950
Numer of labeled samples:10958   AUC:0.949
Numer of labeled samples:10950   AUC:0.950
Numer of labeled samples:10961   AUC:0.950
Numer of labeled samples:10965   AUC:0.949
Numer of labeled samples:10962   AUC:0.949
Numer of labeled samples:10952   AUC:0.950
Numer of labeled samples:10967   AUC:0.949
Numer of labeled samples:10964   AUC:0.949
Numer of labeled samples:10966   AUC:0.949
Numer of labeled samples:10953   AUC:0.948
Numer of labeled samples:10970   AUC:0.949
Numer of labeled samples:10970   AUC:0.948
Numer of labeled samples:10980   AUC:0.949
Numer of labeled samples:10973   AUC:0.949
Numer of labeled samples:10975   AUC:0.948
Numer of labeled samples:10969   AUC:0.948
Numer of labeled samples:10984   AUC:0.948
Numer of labeled samples:10979   AUC:0.947
Numer of labeled samples:10981   AUC:0.948
Numer of labeled samples:10980   AUC:0.947
Numer of labeled samples:10992   AUC:0.949
Numer of labeled samples:10975   AUC:0.947
Numer of labeled samples:10971   AUC:0.947
Numer of labeled samples:10980   AUC:0.947
Numer of labeled samples:10985   AUC:0.948
Numer of labeled samples:10983   AUC:0.948
Numer of labeled samples:10988   AUC:0.947
Numer of labeled samples:10987   AUC:0.947
Numer of labeled samples:10990   AUC:0.948
Numer of labeled samples:10973   AUC:0.947
Numer of labeled samples:10987   AUC:0.948
Numer of labeled samples:10993   AUC:0.947
Numer of labeled samples:10993   AUC:0.947
Numer of labeled samples:10994   AUC:0.946
Numer of labeled samples:10988   AUC:0.947
Numer of labeled samples:10996   AUC:0.947
Numer of labeled samples:10994   AUC:0.947
Numer of labeled samples:10997   AUC:0.946
Numer of labeled samples:10988   AUC:0.948
Numer of labeled samples:10997   AUC:0.946
Numer of labeled samples:10999   AUC:0.946
Numer of labeled samples:10993   AUC:0.945
Numer of labeled samples:11005   AUC:0.947
Numer of labeled samples:10996   AUC:0.947
Numer of labeled samples:10998   AUC:0.947
Numer of labeled samples:10994   AUC:0.947
Numer of labeled samples:10999   AUC:0.946
Numer of labeled samples:11000   AUC:0.947
Numer of labeled samples:11003   AUC:0.946
Numer of labeled samples:11001   AUC:0.947
Numer of labeled samples:11006   AUC:0.946
Numer of labeled samples:10997   AUC:0.946
Numer of labeled samples:11005   AUC:0.946
Numer of labeled samples:11003   AUC:0.946
Numer of labeled samples:11006   AUC:0.947
Numer of labeled samples:11001   AUC:0.947
Numer of labeled samples:11002   AUC:0.947
Numer of labeled samples:11007   AUC:0.947
Numer of labeled samples:11009   AUC:0.946
Numer of labeled samples:11008   AUC:0.946
Numer of labeled samples:11007   AUC:0.945
Numer of labeled samples:11006   AUC:0.947
Numer of labeled samples:11005   AUC:0.945
Numer of labeled samples:11004   AUC:0.947
Numer of labeled samples:11013   AUC:0.946
Numer of labeled samples:11020   AUC:0.945
Numer of labeled samples:11012   AUC:0.946
Numer of labeled samples:11014   AUC:0.946
Numer of labeled samples:11012   AUC:0.947
Numer of labeled samples:11012   AUC:0.947
Numer of labeled samples:11016   AUC:0.947
Numer of labeled samples:11020   AUC:0.946
Numer of labeled samples:11013   AUC:0.947
Numer of labeled samples:11017   AUC:0.946
Numer of labeled samples:11015   AUC:0.946
Numer of labeled samples:11015   AUC:0.946
Numer of labeled samples:11012   AUC:0.946
Numer of labeled samples:11019   AUC:0.947
Numer of labeled samples:11020   AUC:0.946
Numer of labeled samples:11022   AUC:0.946
Numer of labeled samples:11023   AUC:0.946
