Numer of labeled samples:34921   AUC:0.966
Numer of labeled samples:34189   AUC:0.962
Numer of labeled samples:36303   AUC:0.983
Numer of labeled samples:36081   AUC:0.983
Numer of labeled samples:36104   AUC:0.984
Numer of labeled samples:36317   AUC:0.984
Numer of labeled samples:35943   AUC:0.985
Numer of labeled samples:35765   AUC:0.985
Numer of labeled samples:35877   AUC:0.985
Numer of labeled samples:35526   AUC:0.985
Numer of labeled samples:35310   AUC:0.984
Numer of labeled samples:35596   AUC:0.985
Numer of labeled samples:35133   AUC:0.984
Numer of labeled samples:35039   AUC:0.985
Numer of labeled samples:35174   AUC:0.985
Numer of labeled samples:34938   AUC:0.984
Numer of labeled samples:34867   AUC:0.984
Numer of labeled samples:34995   AUC:0.985
Numer of labeled samples:34864   AUC:0.984
Numer of labeled samples:34554   AUC:0.983
Numer of labeled samples:34341   AUC:0.983
Numer of labeled samples:34284   AUC:0.983
Numer of labeled samples:34206   AUC:0.983
Numer of labeled samples:34724   AUC:0.984
Numer of labeled samples:34368   AUC:0.983
Numer of labeled samples:34199   AUC:0.983
Numer of labeled samples:34110   AUC:0.983
Numer of labeled samples:34161   AUC:0.983
Numer of labeled samples:34141   AUC:0.982
Numer of labeled samples:34293   AUC:0.983
Numer of labeled samples:33732   AUC:0.982
Numer of labeled samples:34057   AUC:0.982
Numer of labeled samples:34295   AUC:0.984
Numer of labeled samples:33849   AUC:0.982
Numer of labeled samples:34142   AUC:0.984
Numer of labeled samples:34410   AUC:0.984
Numer of labeled samples:33902   AUC:0.983
Numer of labeled samples:34023   AUC:0.982
Numer of labeled samples:33783   AUC:0.982
Numer of labeled samples:33917   AUC:0.982
Numer of labeled samples:34054   AUC:0.982
Numer of labeled samples:34088   AUC:0.982
Numer of labeled samples:34059   AUC:0.983
Numer of labeled samples:33996   AUC:0.983
Numer of labeled samples:33797   AUC:0.983
Numer of labeled samples:33956   AUC:0.983
Numer of labeled samples:33921   AUC:0.984
Numer of labeled samples:34116   AUC:0.984
Numer of labeled samples:34038   AUC:0.983
Numer of labeled samples:33787   AUC:0.982
Numer of labeled samples:33916   AUC:0.981
Numer of labeled samples:33845   AUC:0.983
Numer of labeled samples:33846   AUC:0.983
Numer of labeled samples:33881   AUC:0.982
Numer of labeled samples:33531   AUC:0.982
Numer of labeled samples:33988   AUC:0.983
Numer of labeled samples:34064   AUC:0.984
Numer of labeled samples:33780   AUC:0.983
Numer of labeled samples:34019   AUC:0.983
Numer of labeled samples:34028   AUC:0.983
Numer of labeled samples:34020   AUC:0.983
Numer of labeled samples:34266   AUC:0.985
Numer of labeled samples:34368   AUC:0.984
Numer of labeled samples:33731   AUC:0.983
Numer of labeled samples:34152   AUC:0.983
Numer of labeled samples:34098   AUC:0.984
Numer of labeled samples:34020   AUC:0.983
Numer of labeled samples:33966   AUC:0.984
Numer of labeled samples:34075   AUC:0.983
Numer of labeled samples:34133   AUC:0.984
Numer of labeled samples:34100   AUC:0.983
Numer of labeled samples:34000   AUC:0.984
Numer of labeled samples:34007   AUC:0.982
Numer of labeled samples:34016   AUC:0.983
Numer of labeled samples:33818   AUC:0.982
Numer of labeled samples:34017   AUC:0.984
Numer of labeled samples:34098   AUC:0.984
Numer of labeled samples:33545   AUC:0.982
Numer of labeled samples:34113   AUC:0.984
Numer of labeled samples:34178   AUC:0.985
Numer of labeled samples:34405   AUC:0.984
Numer of labeled samples:33976   AUC:0.983
Numer of labeled samples:34114   AUC:0.985
Numer of labeled samples:34062   AUC:0.983
Numer of labeled samples:34260   AUC:0.983
Numer of labeled samples:34093   AUC:0.984
Numer of labeled samples:33912   AUC:0.983
Numer of labeled samples:33765   AUC:0.983
Numer of labeled samples:34116   AUC:0.984
Numer of labeled samples:33974   AUC:0.983
Numer of labeled samples:33978   AUC:0.984
Numer of labeled samples:34262   AUC:0.984
Numer of labeled samples:33986   AUC:0.985
Numer of labeled samples:34074   AUC:0.984
Numer of labeled samples:34063   AUC:0.983
Numer of labeled samples:33934   AUC:0.983
Numer of labeled samples:33967   AUC:0.984
Numer of labeled samples:34073   AUC:0.983
Numer of labeled samples:34392   AUC:0.984
Numer of labeled samples:34110   AUC:0.984
Numer of labeled samples:34099   AUC:0.983
Numer of labeled samples:33954   AUC:0.984
Numer of labeled samples:34305   AUC:0.987
Numer of labeled samples:34667   AUC:0.988
Numer of labeled samples:34208   AUC:0.988
Numer of labeled samples:34368   AUC:0.988
Numer of labeled samples:34261   AUC:0.988
Numer of labeled samples:34177   AUC:0.988
Numer of labeled samples:34244   AUC:0.988
Numer of labeled samples:34294   AUC:0.989
Numer of labeled samples:34108   AUC:0.988
Numer of labeled samples:34279   AUC:0.989
Numer of labeled samples:34262   AUC:0.988
Numer of labeled samples:34176   AUC:0.989
Numer of labeled samples:34278   AUC:0.988
Numer of labeled samples:34210   AUC:0.988
Numer of labeled samples:34068   AUC:0.988
Numer of labeled samples:34066   AUC:0.988
Numer of labeled samples:34099   AUC:0.988
Numer of labeled samples:34013   AUC:0.988
Numer of labeled samples:34102   AUC:0.988
Numer of labeled samples:34077   AUC:0.988
Numer of labeled samples:34113   AUC:0.988
Numer of labeled samples:34033   AUC:0.988
Numer of labeled samples:34018   AUC:0.988
Numer of labeled samples:34034   AUC:0.988
Numer of labeled samples:34033   AUC:0.988
Numer of labeled samples:34026   AUC:0.988
Numer of labeled samples:34012   AUC:0.988
Numer of labeled samples:34034   AUC:0.988
Numer of labeled samples:34028   AUC:0.988
Numer of labeled samples:34018   AUC:0.988
Numer of labeled samples:33989   AUC:0.987
Numer of labeled samples:34031   AUC:0.988
Numer of labeled samples:34011   AUC:0.988
Numer of labeled samples:34002   AUC:0.988
Numer of labeled samples:34016   AUC:0.988
Numer of labeled samples:34074   AUC:0.988
Numer of labeled samples:34030   AUC:0.987
Numer of labeled samples:33989   AUC:0.988
Numer of labeled samples:34059   AUC:0.987
Numer of labeled samples:33967   AUC:0.987
Numer of labeled samples:34075   AUC:0.988
Numer of labeled samples:33918   AUC:0.988
Numer of labeled samples:34017   AUC:0.987
Numer of labeled samples:34021   AUC:0.988
Numer of labeled samples:34022   AUC:0.987
Numer of labeled samples:33987   AUC:0.988
Numer of labeled samples:34048   AUC:0.988
Numer of labeled samples:34096   AUC:0.988
Numer of labeled samples:34040   AUC:0.988
Numer of labeled samples:34017   AUC:0.988
Numer of labeled samples:33967   AUC:0.988
Numer of labeled samples:33977   AUC:0.988
Numer of labeled samples:33986   AUC:0.987
Numer of labeled samples:34036   AUC:0.988
Numer of labeled samples:34069   AUC:0.988
Numer of labeled samples:34052   AUC:0.987
Numer of labeled samples:34084   AUC:0.987
Numer of labeled samples:34050   AUC:0.988
Numer of labeled samples:34056   AUC:0.987
Numer of labeled samples:33998   AUC:0.988
Numer of labeled samples:34073   AUC:0.987
Numer of labeled samples:34080   AUC:0.988
Numer of labeled samples:34035   AUC:0.987
Numer of labeled samples:34092   AUC:0.987
Numer of labeled samples:34120   AUC:0.987
Numer of labeled samples:34103   AUC:0.987
Numer of labeled samples:34084   AUC:0.987
Numer of labeled samples:34071   AUC:0.987
Numer of labeled samples:34156   AUC:0.987
Numer of labeled samples:34098   AUC:0.987
Numer of labeled samples:34121   AUC:0.987
Numer of labeled samples:34100   AUC:0.987
Numer of labeled samples:34068   AUC:0.987
Numer of labeled samples:34097   AUC:0.987
Numer of labeled samples:34147   AUC:0.987
Numer of labeled samples:34169   AUC:0.987
Numer of labeled samples:34209   AUC:0.987
Numer of labeled samples:34125   AUC:0.988
Numer of labeled samples:34219   AUC:0.987
Numer of labeled samples:34198   AUC:0.988
Numer of labeled samples:34208   AUC:0.987
Numer of labeled samples:34126   AUC:0.987
Numer of labeled samples:34147   AUC:0.986
Numer of labeled samples:34192   AUC:0.987
Numer of labeled samples:34152   AUC:0.987
Numer of labeled samples:34145   AUC:0.987
Numer of labeled samples:34160   AUC:0.987
Numer of labeled samples:34120   AUC:0.987
Numer of labeled samples:34167   AUC:0.987
Numer of labeled samples:34203   AUC:0.987
Numer of labeled samples:34156   AUC:0.987
Numer of labeled samples:34171   AUC:0.987
Numer of labeled samples:34162   AUC:0.987
Numer of labeled samples:34201   AUC:0.987
Numer of labeled samples:34175   AUC:0.987
Numer of labeled samples:34220   AUC:0.986
Numer of labeled samples:34227   AUC:0.986
Numer of labeled samples:34184   AUC:0.987
Numer of labeled samples:34137   AUC:0.987
Numer of labeled samples:34164   AUC:0.986
Numer of labeled samples:34172   AUC:0.987
Numer of labeled samples:34216   AUC:0.987
Numer of labeled samples:34204   AUC:0.987
Numer of labeled samples:34165   AUC:0.987
Numer of labeled samples:34211   AUC:0.987
Numer of labeled samples:34218   AUC:0.987
Numer of labeled samples:34253   AUC:0.987
Numer of labeled samples:34242   AUC:0.987
Numer of labeled samples:34260   AUC:0.987
Numer of labeled samples:34236   AUC:0.987
Numer of labeled samples:34192   AUC:0.986
Numer of labeled samples:34185   AUC:0.987
Numer of labeled samples:34231   AUC:0.987
Numer of labeled samples:34254   AUC:0.986
Numer of labeled samples:34253   AUC:0.987
Numer of labeled samples:34276   AUC:0.986
Numer of labeled samples:34300   AUC:0.987
Numer of labeled samples:34265   AUC:0.987
Numer of labeled samples:34244   AUC:0.987
Numer of labeled samples:34231   AUC:0.986
Numer of labeled samples:34278   AUC:0.986
Numer of labeled samples:34301   AUC:0.987
Numer of labeled samples:34214   AUC:0.986
Numer of labeled samples:34275   AUC:0.986
Numer of labeled samples:34283   AUC:0.986
Numer of labeled samples:34302   AUC:0.986
Numer of labeled samples:34300   AUC:0.986
Numer of labeled samples:34291   AUC:0.986
Numer of labeled samples:34289   AUC:0.986
Numer of labeled samples:34301   AUC:0.986
Numer of labeled samples:34252   AUC:0.987
Numer of labeled samples:34345   AUC:0.987
Numer of labeled samples:34341   AUC:0.987
Numer of labeled samples:34299   AUC:0.987
Numer of labeled samples:34329   AUC:0.987
Numer of labeled samples:34324   AUC:0.986
